Page,Component,Ref,English,Spanish,French,Hindi
About,,about_angelo,Angelo is a student at Suncoast High School.,Angelo es estudiante en Suncoast High School.,Angelo est étudiante à Suncoast High School.,एंजेलो सनकोस्ट हाई स्कूल में एक छात्र है।
About,,about_aya,Aya is a certified nerd with an unhealthy obsession in marvel and books,AYA es un nerd certificado con una obsesión poco saludable en Marvel and Books,Aya est un nerd certifié avec une obsession malsaine dans Marvel and Books,अया मार्वल और पुस्तकों में एक अस्वास्थ्यकर जुनून के साथ एक प्रमाणित बेवकूफ है
About,,about_sonica,Sonica loves learning new things.,A Sonica le encanta aprender cosas nuevas.,Sonica aime apprendre de nouvelles choses.,सोनिका को नई चीजें सीखना पसंद है।
About,,about_angelica,Angelica is a student at Massachusetts Institute of Technology passionate about data science and Python.,Angélica es estudiante en el Instituto de Tecnología de Massachusetts apasionado por la ciencia de datos y Python.,Angelica est étudiante au Massachusetts Institute of Technology passionnée par la science des données et Python.,एंजेलिका मैसाचुसेट्स इंस्टीट्यूट ऑफ टेक्नोलॉजी में एक छात्र है जो डेटा विज्ञान और पायथन के बारे में भावुक है।
About,,about_john,John isn't a mad scientist and doesn't do biology research (despite the photo).,John no es un científico loco y no hace investigación de biología (a pesar de la foto).,John n'est pas un scientifique fou et ne fait pas de recherche en biologie (malgré la photo).,जॉन एक पागल वैज्ञानिक नहीं है और जीव विज्ञान अनुसंधान (फोटो के बावजूद) नहीं करता है।
About,,about_akash,Akash is a current computer engineering student at USC.,Akash es un estudiante actual de ingeniería informática en la USC.,Akash est un étudiant en génie informatique actuel à l'USC.,आकाश यूएससी में एक वर्तमान कंप्यूटर इंजीनियरिंग छात्र है।
About,,about_carlos,Carlos has collected rocks since elementary school.,Carlos ha recolectado rocas desde la escuela primaria.,Carlos a collecté des rochers depuis l'école primaire.,कार्लोस ने प्राथमिक विद्यालय के बाद से चट्टानों को एकत्र किया है।
About,,about_erin,Erin has an intense fear of squirrels.,Erin tiene un intenso miedo a las ardillas.,Erin a une crainte intense des écureuils.,एरिन को गिलहरी का गहन डर है।
About,,about_grace,"Grace's favorite food is ice cream, and she can fold an epic origami bird.","La comida favorita de Grace es el helado, y puede doblar un pájaro de origami épico.","La nourriture préférée de Grace est la crème glacée, et elle peut plier un oiseau d'origami épique.","ग्रेस का पसंदीदा भोजन आइसक्रीम है, और वह एक महाकाव्य ओरिगेमी पक्षी को मोड़ सकती है।"
About,,about_aarti,Aarti likes to write.,A Aarti le gusta escribir.,Aarti aime écrire.,आरती को लिखना पसंद है।
About,,about_iman,"Iman runs, horseback rides, and is on her school's weightlifting team.","Iman corre, paseos a caballo y está en el equipo de levantamiento de pesas de su escuela.","Iman court, des promenades à cheval et fait partie de l'équipe d'haltérophilie de son école.","इमान चलता है, घुड़सवारी की सवारी करता है, और अपने स्कूल की भारोत्तोलन टीम पर है।"
About,,about_hannah,Hannah likes to work out and is interested in pursuing robotic engineering.,A Hannah le gusta hacer ejercicio y está interesada en buscar ingeniería robótica.,Hannah aime s'entraîner et souhaite poursuivre l'ingénierie robotique.,हन्ना को काम करना पसंद है और रोबोट इंजीनियरिंग को आगे बढ़ाने में रुचि रखते हैं।
About,,about_liane,"Liane is a college freshman who enjoys traveling, eating, and telling dad jokes.","Liane es una estudiante de primer año universitaria que disfruta viajar, comer y decirle chistes de papá.","Liane est une étudiante de première année qui aime voyager, manger et raconter des blagues à papa.","लियान एक कॉलेज फ्रेशमैन है जो यात्रा, खाने और पिताजी को चुटकुले बताने का आनंद लेता है।"
About,,about_ashley,Ashley enjoys playing Sudoku and is interested in pursuing Neuroscience.,Ashley le gusta interpretar a Sudoku y está interesado en buscar neurociencia.,Ashley aime jouer Sudoku et souhaite poursuivre les neurosciences.,एशले को सुडोकू खेलने में मज़ा आता है और वे न्यूरोसाइंस को आगे बढ़ाने में रुचि रखते हैं।
About,,about_ohm,Ohm lived in New Jersey for thirteen years.,Ohm vivió en Nueva Jersey durante trece años.,Ohm a vécu dans le New Jersey pendant treize ans.,ओम तेरह साल तक न्यू जर्सी में रहता था।
About,,about_tasman,Taz's passions consist of aggressively screaming into microphones and catching salamanders.,Las pasiones de Taz consisten en gritar agresivamente en micrófonos y capturar salamandras.,Les passions de Taz consistent à crier agressivement dans les microphones et à attraper des salamandres.,ताज़ के जुनून में माइक्रोफोन में आक्रामक रूप से चिल्लाना और सैलामैंडर को पकड़ना शामिल है।
About,,about_luke,"Luke enjoys working out, shooting hoops, and playing his guitars.","A Luke le gusta hacer ejercicio, disparar aros y tocar sus guitarras.","Luke aime s'entraîner, tirer des cerceaux et jouer ses guitares.","ल्यूक को काम करने, हुप्स की शूटिंग करने और अपने गिटार बजाने का आनंद मिलता है।"
About,,about_srishti,Srishti is a high school sophomore interested in STEM and writing. She loves listening to music and watching movies.,Srishti es un estudiante de segundo año de secundaria interesado en STEM y la escritura. Le encanta escuchar música y ver películas.,Srishti est un étudiant en deuxième année du secondaire intéressé par les STEM et l'écriture. Elle aime écouter de la musique et regarder des films.,Srishti एक हाई स्कूल का परिचय है जो STEM और लेखन में रुचि रखता है। वह संगीत सुनना और फिल्में देखना पसंद करती है।
About,,about_philip,"Philip is a first-year physics student with a keen interest in all things physics, mathematics and computer science.","Philip es un estudiante de física de primer año con un gran interés en todo lo relacionado con la física, las matemáticas y la informática.","Philip est un étudiant en première année de physique qui s'intéresse vivement à tout ce qui concerne la physique, les mathématiques et l'informatique.","फिलिप एक प्रथम वर्ष के भौतिकी के छात्र हैं, जो सभी चीजों में गहरी रुचि रखते हैं, भौतिकी, गणित और कंप्यूटर विज्ञान।"
About,,about_joud,"Joud is a Lebanese/Canadian senior student who loves biology. He likes to read, explore, and enjoy life. He’s always ready to make everyone full with positivity.","Joud es un estudiante senior libanés/canadiense que ama la biología. Le gusta leer, explorar y disfrutar de la vida. Siempre está listo para llenar a todos con positividad.","Joud est un étudiant senior libanais / canadien qui aime la biologie. Il aime lire, explorer et profiter de la vie. Il est toujours prêt à rendre tout le monde plein de positivité.","जौद एक लेबनानी/कनाडाई वरिष्ठ छात्र है जो जीव विज्ञान से प्यार करता है। वह जीवन को पढ़ना, अन्वेषण करना और जीवन का आनंद लेना पसंद करता है। वह हमेशा सकारात्मकता के साथ सभी को पूर्ण बनाने के लिए तैयार रहता है।"
About,,about_sanjana,"Sanjana enjoys playing violin, trying new recipes, and taking diverse courses online.","A Sanjana le gusta jugar contra el violín, probar nuevas recetas y tomar diversos cursos en línea.","Sanjana aime jouer du violon, essayer de nouvelles recettes et suivre des cours divers en ligne.","संजाना को वायलिन खेलने, नए व्यंजनों की कोशिश करने और ऑनलाइन विविध पाठ्यक्रम लेने का आनंद मिलता है।"
About ,,about_grace2,"I’m Grace Nyakarombo, an 11th grade student from Zimbabwe. I’m an science researcher and innovator. I’m passionate about solving SDG 4 & 7 through the use of technology.","Soy Grace Nyakarombo, un estudiante de 11º grado de Zimbabwe. Soy investigador e innovador científico. Me apasiona resolver el SDG 4 y 7 mediante el uso de la tecnología.","Je suis Grace Nyakarombo, une élève de 11e année du Zimbabwe. Je suis chercheur en science et innovateur. Je suis passionné par la résolution de SDG 4 et 7 grâce à l'utilisation de la technologie.","मैं जिम्बाब्वे के 11 वीं कक्षा के छात्र, न्यकरोम्बो को ग्रेस कर रहा हूं। मैं एक विज्ञान शोधकर्ता और इनोवेटर हूं। मैं प्रौद्योगिकी के उपयोग के माध्यम से एसडीजी 4 और 7 को हल करने के बारे में भावुक हूं।"
About,,about_alae,I’m Alae and I love making memes. Oh and I also have the cutest dog ever.,"Soy Alae y me encanta hacer memes. Ah, y también tengo el perro más lindo de todos.",Je suis alae et j'adore faire des mèmes. Oh et j'ai aussi le chien le plus mignon de tous les temps.,मैं alae हूँ और मुझे मेम बनाना बहुत पसंद है। ओह और मेरे पास भी सबसे प्यारा कुत्ता है।
About,,,,,,
Articles,,articles,Articles,Artículos,Des articles,सामग्री
Articles,,sorry,"Sorry, we couldn't find any searches related to","Lo siento, no pudimos encontrar ninguna búsqueda relacionada con","Désolé, nous n'avons pas trouvé de recherches liées à","क्षमा करें, हम किसी भी खोज से संबंधित नहीं पा सकते हैं"
Articles,,search_articles,Search Articles,Artículos de búsqueda,Rechercher des articles,खोज लेख
Articles,,search,Search,Búsqueda,Chercher,खोज
Articles,,,,,,
Courses,,courses,Courses,Cursos,Cours,पाठ्यक्रम
Courses,,sorry,"Sorry, we couldn't find any searches related to","Lo siento, no pudimos encontrar ninguna búsqueda relacionada con","Désolé, nous n'avons pas trouvé de recherches liées à","क्षमा करें, हम किसी भी खोज से संबंधित नहीं पा सकते हैं"
Courses,,search_courses,Search Courses,Buscar cursos,Cours de recherche,कोर्स खोजें
Courses,,search,Search,Búsqueda,Chercher,खोज
Courses,,topics,Topics,Temas,Les sujets,विषय
Courses,,,,#VALUE!,#VALUE!,#VALUE!
Donate,,annual_donation_appeal,Annual Donation Appeal,Apelación de donación anual,Appel de don annuel,वार्षिक दान अपील
Donate,,donate_now,Donate Now,Done ahora,Faire un don maintenant,अभी दान कीजिए
Donate,,read_our_mission,Read our Mission,Lea nuestra misión,Lisez notre mission,हमारे मिशन को पढ़ें
Donate,,dear_supporter,"Dear SciTeens Supporter,","Estimado partidario de Sciteens,","Cher partisan Sciteens,","प्रिय स्काईटेंस समर्थक,"
Donate,,sciteens_pride,"At SciTeens, we take great pride in our technological abilities and youth to deliver the best resources to underrepresented high school students across America. This past year, it was a difficult one for all of us but here at SciTeens we were prepared. As teaching across America shifted online, our online platform allowed students to explore their interest in stem via our articles, online curriculums, and guest speaker series.","En Sciteens, nos enorgullecemos de nuestras habilidades tecnológicas y jóvenes para entregar los mejores recursos a estudiantes de secundaria subrepresentados en todo Estados Unidos. El año pasado, fue difícil para todos nosotros, pero aquí en Sciteens estábamos preparados. A medida que la enseñanza en todo Estados Unidos cambió en línea, nuestra plataforma en línea permitió a los estudiantes explorar su interés en STEM a través de nuestros artículos, planes de estudio en línea y series de oradores invitados.","Chez Sciteens, nous sommes très fiers de nos capacités technologiques et de nos jeunes pour livrer les meilleures ressources aux lycéens sous-représentés à travers l'Amérique. L'année dernière, ce fut difficile pour nous tous, mais ici, chez Sciteens, nous avons été préparés. Alors que l'enseignement à travers l'Amérique s'est déplacé en ligne, notre plate-forme en ligne a permis aux étudiants d'explorer leur intérêt pour les STEM via nos articles, nos programmes en ligne et les séries de conférenciers invités.","स्काईनेंस में, हम अपनी तकनीकी क्षमताओं और युवाओं पर बहुत गर्व करते हैं ताकि अमेरिका भर में हाई स्कूल के छात्रों को रेखांकित किया जा सके। इस पिछले साल, यह हम सभी के लिए एक मुश्किल था, लेकिन यहाँ स्काईनेंस में हम तैयार थे। जैसा कि अमेरिका में शिक्षण ऑनलाइन शिफ्ट हुआ, हमारे ऑनलाइन प्लेटफ़ॉर्म ने छात्रों को हमारे लेखों, ऑनलाइन पाठ्यक्रम और अतिथि वक्ता श्रृंखला के माध्यम से एसटीईएम में अपनी रुचि का पता लगाने की अनुमति दी।"
Donate,,we_depend_on_donations,"This is why we depend on generous people like you, who see the future and immediate need for more online resources that are accessible to students. Your generosity will allow us to reach out to more students across America that will be able to benefit from our resources for free. SciTeens plans on expanding its curriculums to more low income high schools across America. Today more than ever, it is evident that online education is the future for an equitable STEM education.","Es por eso que dependemos de personas generosas como usted, que ven el futuro y la necesidad inmediata de más recursos en línea que sean accesibles para los estudiantes. Su generosidad nos permitirá comunicarse con más estudiantes en todo Estados Unidos que podrán beneficiarse de nuestros recursos de forma gratuita. Sciteens planea expandir sus planes de estudio a más escuelas secundarias de bajos ingresos en todo Estados Unidos. Hoy más que nunca, es evidente que la educación en línea es el futuro para una educación STEM equitativa.","C'est pourquoi nous dépendons de personnes généreuses comme vous, qui voient l'avenir et le besoin immédiat de plus de ressources en ligne accessibles aux étudiants. Votre générosité nous permettra de contacter davantage d'étudiants à travers l'Amérique qui pourront bénéficier de nos ressources gratuitement. Sciteens prévoit d'étendre ses programmes d'études à des écoles secondaires plus à faible revenu à travers l'Amérique. Aujourd'hui plus que jamais, il est évident que l'éducation en ligne est l'avenir d'une éducation STEM équitable.","यही कारण है कि हम आप जैसे उदार लोगों पर निर्भर करते हैं, जो भविष्य को देखते हैं और अधिक ऑनलाइन संसाधनों के लिए तत्काल आवश्यकता है जो छात्रों के लिए सुलभ हैं। आपकी उदारता हमें अमेरिका भर के अधिक छात्रों तक पहुंचने की अनुमति देगी जो हमारे संसाधनों से मुफ्त में लाभान्वित हो सकेगी। स्काईन्स ने अपने पाठ्यक्रम का विस्तार करने की योजना अमेरिका भर में अधिक कम आय वाले उच्च विद्यालयों में किया है। आज पहले से कहीं अधिक, यह स्पष्ट है कि ऑनलाइन शिक्षा एक न्यायसंगत एसटीईएम शिक्षा के लिए भविष्य है।"
Donate,,we_kindly_ask,We kindly ask that you consider SciTeens as an organization that you will donate to so we may continue carrying out our mission and engage more students in the beauty of STEM.,Le pedimos amablemente que considere a Sciteens como una organización a la que donará para que podamos continuar llevando a cabo nuestra misión e involucrar a más estudiantes en la belleza de STEM.,Nous vous demandons de tenter de considérer Sciteens comme une organisation à laquelle vous ferez un don afin que nous puissions continuer à mener notre mission et engager plus d'étudiants dans la beauté de la STEM.,हम कृपया पूछते हैं कि आप स्काईन्स को एक संगठन के रूप में मानते हैं जिसे आप दान करेंगे ताकि हम अपने मिशन को जारी रख सकें और एसटीईएम की सुंदरता में अधिक छात्रों को संलग्न कर सकें।
Donate,,sincerely,Sincerely,Sinceramente,Sincèrement,ईमानदारी से
Donate,,co_founder,Co-Founder and Executive Director,Cofundador y director ejecutivo,Co-fondateur et directeur exécutif,सह-संस्थापक और कार्यकारी निदेशक
Donate,,,,,,
Get Involved,,want_to_get_involved,Want to Get Involved?,¿Quieres involucrarte?,Vous voulez vous impliquer?,शामिल होना चाहते हैं?
Get Involved,,students,Students,Estudiantes,Étudiants,छात्र
Get Involved,,get_involved_student,"As a student, getting involved with SciTeens is as simple as signing up! Once registered, you can connect with amazing STEM programs and mentors, as well as share your amazing projects. If you want to start a STEM club at your high school, we're more than willing to sponsor and assist you as well; just reach out to","¡Como estudiante, involucrarse con Sciteens es tan simple como registrarse! Una vez registrado, puede conectarse con increíbles programas y mentores STEM, así como compartir sus increíbles proyectos. Si desea comenzar un club STEM en su escuela secundaria, estamos más que dispuestos a patrocinar y ayudarlo también; Solo comuníquese con","En tant qu'étudiant, s'impliquer avec Sciteens est aussi simple que de s'inscrire! Une fois enregistré, vous pouvez vous connecter avec des programmes et des mentors STEM incroyables, ainsi que partager vos projets incroyables. Si vous voulez créer un club STEM dans votre lycée, nous sommes plus que disposés à vous parrainer et à vous aider également; Tendre la main à","एक छात्र के रूप में, स्काइटेंस के साथ जुड़ना उतना ही सरल है जितना साइन अप करना! एक बार पंजीकृत होने के बाद, आप अद्भुत एसटीईएम कार्यक्रमों और आकाओं के साथ जुड़ सकते हैं, साथ ही साथ अपनी अद्भुत परियोजनाओं को भी साझा कर सकते हैं। यदि आप अपने हाई स्कूल में एक एसटीईएम क्लब शुरू करना चाहते हैं, तो हम प्रायोजक और भी आपकी सहायता करने के लिए तैयार हैं; बस तक पहुंचें"
Get Involved,,student_sign_up,Student Sign Up,Estudiante Registrarse,Student Inscription,छात्र साइन अप करें
Get Involved,,mentors,Mentors,Mentores,Mentors,मेंटर्स
Get Involved,,get_involved_mentor,"One of the services that SciTeens provides is mentorship opportunities for students. We are always looking for mentors who are willing to be matched with a student based on topics and fields of interest to assist a student. In order to be a mentor, you must be a professor, teacher, graduate or undergraduate STEM student, or be employed in a STEM field and be willing to devote some time to helping passionate STEM students.","Uno de los servicios que proporciona Sciteens son las oportunidades de tutoría para los estudiantes. Siempre estamos buscando mentores que estén dispuestos a ser emparejados con un estudiante basado en temas y campos de interés para ayudar a un estudiante. Para ser un mentor, debe ser profesor, maestro, estudiante de posgrado o pregrado STEM, o ser empleado en un campo STEM y estar dispuesto a dedicar algo de tiempo a ayudar a estudiantes apasionados de STEM.","L'un des services que Sciteens offre est les possibilités de mentorat aux étudiants. Nous recherchons toujours des mentors qui sont prêts à être jumelés avec un étudiant basé sur des sujets et des domaines d'intérêt pour aider un étudiant. Pour être mentor, vous devez être professeur, enseignant, diplômé ou étudiant STEM de premier cycle, ou être employé dans un domaine STEM et être prêt à consacrer du temps à aider les étudiants passionnés STEM.","Sciteens प्रदान करने वाली सेवाओं में से एक छात्रों के लिए मेंटरशिप के अवसर हैं। हम हमेशा उन आकाओं की तलाश कर रहे हैं जो एक छात्र की सहायता के लिए विषयों और रुचि के क्षेत्रों के आधार पर एक छात्र के साथ मिलान करने के लिए तैयार हैं। एक संरक्षक होने के लिए, आपको एक प्रोफेसर, शिक्षक, स्नातक या स्नातक एसटीईएम छात्र होना चाहिए, या एसटीईएम क्षेत्र में नियोजित होना चाहिए और भावुक एसटीईएम छात्रों की मदद करने के लिए कुछ समय समर्पित होने के लिए तैयार रहना चाहिए।"
Get Involved,,mentor_sign_up,Mentor Sign Up,Mentor Registrarse,Mentor Inscription,मेंटर साइन अप करें
Get Involved,,outreach,Outreach,Superar a,Attitude,आउटरीच
Get Involved,,get_involved_outreach,"One of the core principles of science is collaboration. Our mission depends on collaboration, and we are always looking for ways to bring science to every single student! If you know a school, teacher, science program, or organization that could help us achieve our mission, please reach out to us at","Uno de los principios centrales de la ciencia es la colaboración. ¡Nuestra misión depende de la colaboración, y siempre estamos buscando formas de llevar la ciencia a cada estudiante! Si conoce una escuela, maestro, programa de ciencias o organización que podría ayudarnos a lograr nuestra misión, comuníquese con nosotros en","L'un des principaux principes de la science est la collaboration. Notre mission dépend de la collaboration, et nous recherchons toujours des moyens d'amener la science à chaque étudiant! Si vous connaissez une école, un enseignant, un programme scientifique ou une organisation qui pourrait nous aider à réaliser notre mission, veuillez nous contacter à nous à","विज्ञान के मुख्य सिद्धांतों में से एक सहयोग है। हमारा मिशन सहयोग पर निर्भर करता है, और हम हमेशा हर एक छात्र के लिए विज्ञान लाने के तरीकों की तलाश कर रहे हैं! यदि आप एक स्कूल, शिक्षक, विज्ञान कार्यक्रम, या संगठन जानते हैं जो हमें अपने मिशन को प्राप्त करने में मदद कर सकता है, तो कृपया हमारे पास पहुंचें"
Get Involved,,contact_us,Contact Us,Contáctenos,Nous contacter,संपर्क करें
Get Involved,,funding,Funding,Fondos,Financement,अनुदान
Get Involved,,get_involved_funding,"We are a nonprofit organization that relies on crowdfunding, grants, and private donations. If you know someone who is willing to donate or would like to help us out in finding ways of getting funded, please reach out to us at","Somos una organización sin fines de lucro que se basa en crowdfunding, subvenciones y donaciones privadas. Si conoce a alguien que está dispuesto a donar o desea ayudarnos a encontrar formas de financiar, comuníquese con nosotros en","Nous sommes une organisation à but non lucratif qui s'appuie sur le financement participatif, les subventions et les dons privés. Si vous connaissez quelqu'un qui est prêt à faire un don ou qui souhaite nous aider pour trouver des moyens de financement, veuillez nous contacter à","हम एक गैर -लाभकारी संगठन हैं जो क्राउडफंडिंग, अनुदान और निजी दान पर निर्भर करता है। यदि आप किसी ऐसे व्यक्ति को जानते हैं जो दान करने के लिए तैयार है या हमें वित्त पोषित होने के तरीके खोजने में मदद करना चाहता है, तो कृपया हमारे पास पहुंचें"
Get Involved,,no_student_limited,"No student should be limited by their income level when it comes to conducting scientific research, so every donation counts.","Ningún estudiante debe estar limitado por su nivel de ingresos cuando se trata de realizar investigaciones científicas, por lo que cada donación cuenta.","Aucun étudiant ne doit être limité par leur niveau de revenu lorsqu'il s'agit de mener des recherches scientifiques, donc chaque don compte.","किसी भी छात्र को वैज्ञानिक अनुसंधान करने के लिए अपनी आय के स्तर तक सीमित नहीं होना चाहिए, इसलिए प्रत्येक दान मायने रखता है।"
Get Involved,,donate_now,Donate Now,Done ahora,Faire un don maintenant,अभी दान कीजिए
Get Involved,,,,,,
Index,,science_simplified,"Science, simplified.","Ciencia, simplificada.","Science, simplifiée.","विज्ञान, सरलीकृत।"
Index,,share_work,"Share your work, get feedback from mentors and peers, and find great scientific opportunities and resources available and accessible to you. Oh yeah, and it's free. Only here on SciTeens.","Comparta su trabajo, obtenga comentarios de mentores y compañeros, y encuentre excelentes oportunidades científicas y recursos disponibles y accesibles para usted. Oh sí, y es gratis. Solo aquí en Sciteens.","Partagez votre travail, obtenez les commentaires des mentors et des pairs et trouvez de grandes opportunités et ressources scientifiques disponibles et accessibles à vous. Oh ouais, et c'est gratuit. Seulement ici sur Sciteens.","अपने काम को साझा करें, मेंटर और साथियों से प्रतिक्रिया प्राप्त करें, और महान वैज्ञानिक अवसर और संसाधन उपलब्ध और आपके लिए सुलभ खोजें। अरे हाँ, और यह मुफ़्त है। केवल यहाँ स्काईन पर।"
Index,,get_started,Get Started,Empezar,Commencer,शुरू हो जाओ
Index,,furthering_accessibility,"Furthering the accessibility of science, one student at a time.","Forzando la accesibilidad de la ciencia, un estudiante a la vez.","Favoriser l'accessibilité de la science, un étudiant à la fois.","विज्ञान की पहुंच को आगे बढ़ाते हुए, एक समय में एक छात्र।"
Index,,bridge_the_gap,"We strive to bridge the gap between education and opportunity, particularly for students from low-resource areas who do not have an extensive STEM support network.","Nos esforzamos por cerrar la brecha entre la educación y la oportunidad, particularmente para los estudiantes de áreas de baja recursos que no tienen una red extensa de apoyo STEM.","Nous nous efforçons de combler le fossé entre l'éducation et les opportunités, en particulier pour les étudiants des zones à faibles ressources qui n'ont pas un vaste réseau de soutien aux STEM.","हम शिक्षा और अवसर के बीच की खाई को पाटने का प्रयास करते हैं, विशेष रूप से कम-संसाधन वाले क्षेत्रों के छात्रों के लिए जिनके पास व्यापक एसटीईएम समर्थन नेटवर्क नहीं है।"
Index,,for_teens_by_teens,"SciTeens was started by a group of teens just like you trying to get started in the STEM fields. Because of this, we know how intimidating it can be to begin your own research projects. We want to put an end to this intimidation and make STEM research accesible and rewarding for everyone.","Sciteens fue iniciado por un grupo de adolescentes como tú tratando de comenzar en los campos de tallo. Debido a esto, sabemos lo intimidante que puede ser comenzar sus propios proyectos de investigación. Queremos poner fin a esta intimidación y hacer que la investigación STEM sea accesible y gratificante para todos.","Sciteens a été lancé par un groupe d'adolescents comme vous essayez de commencer dans les champs STEM. Pour cette raison, nous savons à quel point il peut être intimidant pour commencer vos propres projets de recherche. Nous voulons mettre fin à cette intimidation et rendre la recherche STEM accessible et gratifiante pour tout le monde.","स्काईन्स को किशोरावस्था के एक समूह द्वारा शुरू किया गया था जैसे आप स्टेम फील्ड्स में शुरू करने की कोशिश कर रहे थे। इस वजह से, हम जानते हैं कि आपकी खुद की अनुसंधान परियोजनाएं शुरू करना कितना डराना हो सकता है। हम इस डराने को समाप्त करना चाहते हैं और स्टेम अनुसंधान को सभी के लिए अभिनय और पुरस्कृत करना चाहते हैं।"
Index,,collaborate_on_projects,"With SciTeens you can share your knowledge and research by writing articles or creating projects. Your work can be viewed by other SciTeens users, giving you access to unique opportunities through collaboration with your peers and mentorship by accomplished scholars in the STEM fields.","Con Sciteens, puede compartir su conocimiento e investigación escribiendo artículos o creando proyectos. Su trabajo puede ser visto por otros usuarios de Sciteens, lo que le brinda acceso a oportunidades únicas a través de la colaboración con sus compañeros y la tutoría por parte de eruditos consumados en los campos STEM.","Avec Sciteens, vous pouvez partager vos connaissances et vos recherches en écrivant des articles ou en créant des projets. Votre travail peut être vu par d'autres utilisateurs de Sciteens, vous donnant accès à des opportunités uniques grâce à la collaboration avec vos pairs et votre mentorat par des chercheurs accomplis dans les champs STEM.","स्काईटेंस के साथ आप लेख लिखकर या परियोजनाएं बनाकर अपने ज्ञान और अनुसंधान को साझा कर सकते हैं। आपके काम को अन्य स्काईटेन्स उपयोगकर्ताओं द्वारा देखा जा सकता है, जो आपको एसटीईएम क्षेत्रों में निपुण विद्वानों द्वारा अपने साथियों और मेंटरशिप के साथ सहयोग के माध्यम से अद्वितीय अवसरों तक पहुंच प्रदान करता है।"
Index,,spark_of_inspiration,"All it takes is a spark of inspiration, the willingness to work with your peers, and an account to get started doing scientific research and making a difference in your area of study.","Todo lo que se necesita es una chispa de inspiración, la voluntad de trabajar con sus compañeros y una cuenta para comenzar a hacer una investigación científica y hacer una diferencia en su área de estudio.","Tout ce qu'il faut, c'est une étincelle d'inspiration, la volonté de travailler avec vos pairs et un compte pour commencer à faire des recherches scientifiques et faire une différence dans votre domaine d'étude.","यह सब लेता है प्रेरणा की एक चिंगारी है, अपने साथियों के साथ काम करने की इच्छा, और वैज्ञानिक अनुसंधान करने और अध्ययन के क्षेत्र में एक अंतर बनाने के लिए एक खाता है।"
Index,,sciteens_pride,"SciTeens takes pride in its open source and collaborative platform, but let our users do the talking for us.","Sciteens se enorgullece de su código abierto y plataforma de colaboración, pero deja que nuestros usuarios hablen por nosotros.","Sciteens est fier de sa plate-forme open source et collaborative, mais laissez nos utilisateurs parler pour nous.","स्काईन्स अपने खुले स्रोत और सहयोगी मंच पर गर्व करता है, लेकिन हमारे उपयोगकर्ताओं को हमारे लिए बात करने दें।"
Index,,monthly_users,Monthly Active Users,Usuarios activos mensuales,Utilisateurs actifs mensuels,मासिक सक्रिय उपयोगकर्ता
Index,,schools,schools,escuelas,écoles,स्कूलों
Index,,countries,countries,países,des pays,देशों
Index,,featured_media,Featured Media,Medios destacados,Médias en vedette,फीचर्ड मीडिया
Index,,data_science_and_ecology,SciTeens: Data Science and Ecology for Gen Z,Sciteens: Data Science and Ecology for Gen Z,Sciteens: science des données et écologie pour la génération Z,स्काइटेंस: जनरल जेड के लिए डेटा विज्ञान और पारिस्थितिकी
Index,,ideas_challenge,IDEAS challenge showcases social ventures at MIT,Ideas Challenge muestra empresas sociales en el MIT,Les idées Challenge présentent des entreprises sociales au MIT,विचार चुनौती MIT में सामाजिक उपक्रमों को प्रदर्शित करती है
Index,,young_scholars_program,Young Scholars Online Program turns students into scientists,El programa en línea de Young Scholars convierte a los estudiantes en científicos,Le programme en ligne des jeunes chercheurs transforme les étudiants en scientifiques,युवा विद्वान ऑनलाइन कार्यक्रम छात्रों को वैज्ञानिकों में बदल देता है
Index,,partners,Partners and Programs,Socios y programas,Partenaires et programmes,भागीदार और कार्यक्रम
Index,,support_us,"If you'd like to support us, please consider","Si desea apoyarnos, considere","Si vous souhaitez nous soutenir, veuillez considérer","यदि आप हमारा समर्थन करना चाहते हैं, तो कृपया विचार करें"
Index,,donating,donating.,donación.,don.,दान करना।
Index,,,,#VALUE!,#VALUE!,#VALUE!
Projects,,projects,Projects,Proyectos,Projets,परियोजनाओं
Projects,,sorry,"Sorry, we couldn't find any searches related to","Lo siento, no pudimos encontrar ninguna búsqueda relacionada con","Désolé, nous n'avons pas trouvé de recherches liées à","क्षमा करें, हम किसी भी खोज से संबंधित नहीं पा सकते हैं"
Projects,,search_projects,Search for Projects,Buscar proyectos,Rechercher des projets,परियोजनाओं के लिए खोजें
Projects,,search,Search,Búsqueda,Chercher,खोज
Projects,,topics,Topics,Temas,Les sujets,विषय
Fields,,all,All,Todos,Tout,सभी
Fields,,biology,Biology,Biología,La biologie,जीवविज्ञान
Fields,,chemistry,Chemistry,Química,Chimie,रसायन शास्त्र
Fields,,cognitive_science,Cognitive Science,Ciencia cognitiva,Sciences cognitives,संज्ञात्मक विज्ञान
Fields,,computer_science,Computer Science,Ciencias de la Computación,L'informatique,कंप्यूटर विज्ञान
Fields,,earth_science,Earth Science,ciencia de la Tierra,sciences de la Terre,पृथ्वी विज्ञान
Fields,,electrical_engineering,Electrical Engineering,Ingenieria Eléctrica,Ingénierie électrique,विद्युत अभियन्त्रण
Fields,,environmental_science,Environmental Science,Ciencia medioambiental,Sciences de l'environnement,पर्यावरण विज्ञान
Fields,,mathematics,Mathematics,Matemáticas,Mathématiques,गणित
